campaign_id,nombre_campaña,tipo_campaña,fecha_inicio,fecha_fin,presupuesto
1,"Cyber Days","Marketing mundial",2025-04-01,2025-04-13,1000.00
2,"Cyber Days","Marketing mundial",2025-04-01,2025-04-13,1000.00
3,"Campaña DMC","Aniversario DMC",2025-05-18,2025-06-13,1000.00
4,"Summer Days",Verano,2025-01-02,2025-05-17,1000.00
5,"Black Friday Sale","Promoción Especial",2025-11-28,2025-11-30,1500.00
6,"Back to School","Temporada Escolar",2025-02-15,2025-03-15,1200.00
7,"Día de la Madre",Celebración,2025-05-01,2025-05-10,1300.00
8,"Navidad en Julio","Venta Especial",2025-07-01,2025-07-07,1100.00
9,"Fin de Año","Despedida de Año",2025-12-26,2025-12-31,2000.00
10,"Lanzamiento Nuevo Producto","Introducción al Mercado",2025-06-01,2025-06-15,2500.00
11,"Semana del Cliente",Fidelización,2025-09-01,2025-09-07,1400.00
12,"Festival de Descuentos","Promoción Masiva",2025-10-10,2025-10-20,1600.00
13,"Verano Saludable",Concienciación,2025-12-01,2025-12-31,1800.00
14,"Regreso a Clases","Venta Escolar",2025-03-01,2025-03-31,1700.00
